"성별","연도","교육","지역","월급"
2,1995,6,1,213
2,2001,6,1,NA
2,1940,4,1,NA
2,1943,2,1,27
1,1938,4,1,NA
2,1946,3,1,NA
1,1954,7,1,NA
2,1958,5,1,NA
1,1984,7,1,266
2,1937,3,1,27
2,1962,4,1,179
2,1941,3,1,108
1,1968,4,1,135
2,1953,3,1,80
1,1974,7,1,851
2,1979,7,1,424
2,2007,4,1,NA
2,1954,3,7,NA
1,1944,3,1,NA
2,1944,3,1,NA
1,1952,3,1,196
2,1956,3,1,NA
2,1948,5,1,NA
2,1942,5,1,NA
2,1965,5,1,NA
2,1994,7,1,270
1,1959,5,1,427
2,1989,8,1,250
1,1984,7,1,640
2,1941,3,1,NA
1,1940,3,1,NA
1,1932,4,1,NA
2,1936,3,1,NA
1,1960,5,1,200
2,1963,5,1,NA
2,1990,7,1,317
1,1963,5,6,NA
2,1990,5,6,NA
2,2011,3,6,NA
2,2013,3,6,NA
1,1977,7,1,725
2,1978,8,1,670
2,2006,4,1,NA
2,1950,3,1,NA
1,2008,4,1,NA
1,2016,1,1,NA
2,1980,6,7,NA
1,1980,6,7,NA
1,2010,3,7,NA
1,2013,3,7,NA
2,2016,1,7,NA
1,1948,5,1,NA
2,1950,3,1,35
1,1977,6,1,395
2,1976,6,2,NA
1,1973,7,2,514
1,2008,4,2,NA
1,1968,5,1,NA
2,1966,5,1,380
1,1998,7,1,80
2,2000,7,1,64
1,1959,3,1,191
2,1964,3,1,NA
2,1986,7,1,284
2,1988,5,1,300
1,1939,4,2,NA
2,1940,3,2,NA
1,1945,7,1,NA
2,1949,5,1,NA
1,1973,7,1,250
2,1969,7,1,458
2,2007,4,1,NA
1,2009,3,1,NA
1,1936,5,1,NA
2,1946,5,1,NA
2,1957,4,1,158
2,1987,7,1,170
1,1991,7,1,388
1,1955,8,1,80
2,1960,7,1,236
1,1989,7,1,268
1,1957,5,2,NA
1,1989,6,2,293
1,1952,4,1,NA
1,1960,4,1,363
2,1960,4,1,NA
2,1988,6,2,NA
1,1984,7,2,341
2,2018,1,2,NA
2,2020,1,2,NA
2,1993,5,1,NA
1,1992,5,1,NA
2,1971,8,1,100
2,1976,7,2,689
1,1973,8,2,1151
1,1950,5,1,NA
2,1953,4,1,NA
1,1982,8,1,504
2,1987,7,1,498
1,2016,1,1,NA
1,2019,1,1,NA
2,1937,3,2,NA
1,1938,4,1,NA
1,1997,5,1,145
2,1994,5,2,150
1,1994,7,2,NA
2,2016,1,2,NA
2,2018,1,2,NA
1,1965,5,1,514
2,1969,5,1,231
2,1993,6,1,244
2,2000,6,1,NA
2,1992,7,1,NA
1,1986,6,1,292
1,1970,5,1,375
2,1971,5,1,254
2,2001,6,1,NA
2,2003,5,1,NA
2,1944,5,1,NA
2,1950,3,2,NA
1,1971,5,2,300
1,1997,6,2,NA
2,1936,7,1,NA
1,1957,5,2,NA
2,1958,5,2,NA
1,1983,6,2,NA
2,1979,6,2,NA
1,1975,7,2,368
2,2009,3,2,NA
1,2012,3,2,NA
1,1962,5,1,210
2,1964,5,1,NA
1,1990,7,1,368
1,1994,6,1,330
1,1952,5,1,NA
2,1957,5,1,100
1,1981,6,1,683
2,1986,7,1,510
1,2015,1,1,NA
1,2019,1,1,NA
2,1984,7,1,583
1,1982,7,1,1250
2,2017,1,1,NA
1,2020,1,1,NA
1,1952,2,7,NA
2,1936,2,1,NA
1,1960,5,1,NA
1,1966,6,1,NA
2,1966,5,1,NA
2,2004,5,1,NA
2,2004,5,1,NA
2,1939,5,1,NA
1,1960,5,1,590
2,1962,5,1,NA
1,1961,6,1,NA
2,1968,6,1,280
1,1998,5,1,215
2,1999,6,1,NA
1,1964,8,5,368
2,1975,5,5,NA
2,1997,7,5,NA
1,1999,7,5,220
2,2008,4,5,NA
2,2011,3,5,NA
2,1942,4,1,NA
1,1974,5,2,370
2,1981,6,2,150
2,2007,4,2,NA
1,1940,7,1,NA
2,1943,5,1,NA
1,1968,7,1,NA
1,1955,5,1,NA
2,1961,5,1,NA
1,1993,7,1,NA
1,1961,4,1,185
2,1961,4,1,70
2,1943,5,1,NA
1,1979,8,2,467
2,1983,8,2,NA
1,2010,3,2,NA
2,2019,1,2,NA
1,1945,8,2,NA
2,1953,5,2,NA
2,1946,3,1,NA
2,1947,5,1,NA
1,2001,7,1,NA
2,1935,5,1,NA
2,1950,7,1,NA
1,1978,7,1,700
2,1979,6,1,NA
1,1981,5,1,500
2,1927,3,2,NA
2,1960,5,2,NA
1,1953,5,2,NA
2,1987,7,2,252
1,1973,7,1,NA
1,1970,5,1,380
2,1969,5,1,415
1,1999,6,1,NA
2,1943,4,1,NA
1,1979,7,1,NA
2,1983,7,1,NA
1,2017,1,1,NA
1,1947,5,4,NA
2,1948,4,4,NA
2,1980,6,1,360
1,1937,5,2,NA
2,1943,4,2,NA
1,1936,8,1,NA
2,1939,7,1,NA
1,1969,4,1,290
2,1971,5,1,NA
2,2000,5,1,215
2,2002,5,1,235
2,1972,7,2,378
1,1979,5,2,140
2,2010,3,2,NA
1,2012,3,2,NA
2,1956,5,1,NA
1,1945,5,1,NA
2,1948,3,1,NA
2,1954,3,2,NA
1,1974,5,1,700
2,1974,6,1,NA
2,2005,5,1,NA
1,1963,5,1,NA
2,1964,4,1,NA
2,1990,6,1,284
1,1991,7,1,380
1,1950,7,1,NA
2,1953,5,1,NA
2,1958,3,1,102
1,1984,5,1,231
1,1950,4,6,NA
1,1977,7,2,1533
2,1979,7,2,NA
1,2010,3,2,NA
1,2014,3,2,NA
2,2015,1,2,NA
2,1979,7,1,430
1,1980,7,1,599
2,2014,3,1,NA
2,2014,3,1,NA
1,2016,1,1,NA
2,1969,7,2,167
1,1970,6,2,720
2,1946,3,1,160
2,1943,3,7,27
1,1917,2,7,NA
2,1930,2,1,NA
2,1953,5,6,NA
2,1983,6,6,202
2,2013,3,6,NA
1,1978,6,6,451
1,2010,3,6,NA
1,1969,7,2,625
2,1973,7,2,655
2,2000,7,2,NA
1,2003,5,2,NA
2,1943,3,1,NA
1,1969,7,1,675
2,1972,6,1,229
2,2000,6,1,NA
2,2002,6,1,NA
1,1975,6,1,NA
2,1976,5,1,NA
1,2004,5,1,NA
1,2009,3,1,NA
1,1969,6,1,NA
1,1956,7,1,NA
2,1958,6,1,NA
2,1963,7,3,NA
1,1948,5,1,30
2,1954,3,1,NA
2,1979,7,1,39
1,1979,6,1,490
2,2011,3,1,NA
1,2013,3,1,NA
1,1957,5,1,NA
2,1955,5,1,NA
1,1968,7,1,720
2,1971,7,1,244
1,1999,7,1,NA
1,1958,5,1,NA
2,1990,7,1,1083
2,1962,6,1,270
2,1986,7,1,NA
1,1990,7,1,NA
2,1950,7,1,NA
1,1933,5,1,NA
2,1939,3,1,NA
1,1965,7,1,NA
2,1940,3,1,NA
1,1942,3,1,NA
1,1975,5,1,NA
2,1980,5,1,470
1,2007,4,1,NA
2,2009,3,1,NA
1,1935,5,1,NA
2,1942,4,1,NA
1,1973,5,2,NA
2,1976,5,2,NA
2,1941,2,2,NA
1,1926,7,1,NA
1,1949,4,1,NA
2,1955,3,1,NA
2,1990,6,1,201
2,1990,5,2,NA
2,1992,6,2,252
1,1954,5,2,400
2,1960,5,2,135
1,1995,7,2,NA
1,1968,5,1,378
2,1934,3,1,NA
1,1963,7,1,NA
1,1993,6,1,223
2,1968,6,1,NA
2,2005,5,1,NA
2,2007,4,1,NA
2,1971,8,1,NA
1,1946,3,1,NA
2,1951,3,1,NA
2,1979,7,1,550
1,1978,7,1,533
2,2007,4,1,NA
1,2010,3,1,NA
1,1945,3,2,55
2,1951,7,2,NA
2,1970,5,1,212
2,1999,5,1,224
1,1995,5,1,184
1,1947,7,1,NA
2,1942,3,1,NA
1,1961,7,1,NA
1,1993,5,1,270
2,1995,7,1,227
1,1932,7,1,NA
2,1939,5,1,NA
2,1978,6,1,200
1,1983,5,1,NA
1,1945,4,1,NA
2,1951,4,1,NA
2,1965,5,1,343
2,1986,5,1,200
1,1945,7,1,NA
2,1949,7,1,NA
1,1968,7,2,NA
2,1969,7,2,NA
1,1997,7,2,NA
1,1959,3,2,277
2,1960,3,2,100
1,1988,5,2,364
2,1986,5,2,NA
1,1980,5,2,NA
2,2015,1,2,NA
2,2017,1,2,NA
1,1962,7,1,141
2,1965,7,1,192
2,1991,7,1,NA
1,1994,7,1,200
1,1965,5,1,NA
2,1965,5,1,NA
2,1992,7,1,NA
2,1996,7,3,392
1,1964,6,2,400
2,1966,5,2,170
1,1990,5,2,105
2,1953,5,1,27
1,1975,7,1,200
1,1950,4,1,NA
2,1954,4,1,NA
2,1984,5,1,NA
1,1978,6,1,1353
2,2014,3,1,NA
1,2017,1,1,NA
2,1987,6,2,394
1,1980,7,2,516
2,1960,5,1,210
2,1992,6,1,194
2,1995,6,1,220
2,1974,5,2,NA
1,1975,7,2,200
1,1958,6,1,249
2,1958,4,1,NA
2,1988,8,1,524
1,1981,8,1,614
2,2020,1,1,NA
1,1957,5,5,NA
2,1960,4,5,NA
2,1995,7,5,555
2,1995,5,1,NA
1,1968,5,1,125
2,1971,5,1,100
1,1998,8,1,NA
1,1952,6,1,460
2,1952,5,1,NA
2,1983,7,1,NA
2,1978,7,1,579
1,2008,4,1,NA
2,2010,3,1,NA
2,1983,7,1,NA
2,1980,7,1,NA
1,1979,7,1,581
2,2010,3,1,NA
1,1958,4,1,250
2,1965,5,1,NA
2,1993,6,1,230
1,1963,6,1,NA
1,1939,4,1,NA
2,1947,3,1,191
2,1945,4,1,27
2,1949,5,1,NA
2,1945,2,1,NA
2,1930,7,1,NA
2,1937,3,1,NA
2,1956,4,1,NA
1,1932,3,1,NA
2,1942,3,1,NA
2,1957,4,1,NA
1,1980,7,2,NA
2,1982,7,2,NA
1,1982,8,1,508
2,1970,6,1,206
1,2001,6,1,NA
1,1966,7,1,891
2,1970,5,1,65
2,1998,5,1,250
2,2000,7,1,NA
1,1940,3,1,NA
2,1944,3,1,NA
1,1972,5,1,338
2,1940,4,1,NA
2,1958,4,1,280
2,1984,5,1,286
2,1982,6,1,NA
1,1946,8,1,NA
2,1950,7,1,NA
1,1969,6,1,315
2,1972,5,1,220
2,2001,6,1,NA
2,2003,5,1,NA
1,1960,3,1,NA
2,1962,3,1,NA
1,1942,4,1,71
2,1941,4,1,NA
1,1952,3,1,NA
2,1956,3,1,100
2,1982,6,1,NA
1,1976,5,1,385
1,2009,3,1,NA
2,2015,1,1,NA
1,1939,3,1,NA
2,1943,3,1,27
2,1932,2,2,NA
1,1963,7,2,330
2,1962,5,2,NA
2,1990,6,2,NA
1,1986,7,2,415
2,2015,1,2,NA
2,2018,1,2,NA
1,2020,1,2,NA
1,1948,4,2,NA
2,1952,4,2,NA
1,1945,7,1,NA
2,1947,7,1,NA
1,1957,5,1,NA
2,1962,5,1,NA
1,1983,5,1,NA
2,1954,3,2,NA
2,1975,5,2,352
2,1981,8,2,NA
1,1980,5,2,350
2,2021,1,2,NA
2,1946,4,1,27
1,1968,7,1,375
2,1969,7,1,NA
2,1997,7,1,240
1,1964,6,1,400
2,1972,5,1,300
