"성별","연도","교육","지역","월급"
1,1975,5,5,NA
2,1981,5,5,NA
2,2011,3,5,NA
2,2012,3,5,NA
2,2019,1,5,NA
1,1966,5,2,NA
2,1969,5,2,253
2,1995,6,2,278
1,1996,5,2,NA
2,1943,2,2,27
1,1930,4,2,NA
2,1937,4,2,NA
2,1964,5,2,200
1,1945,3,2,NA
2,1939,3,2,NA
1,1943,4,2,NA
2,1948,4,2,NA
2,1960,4,2,NA
1,1947,4,2,NA
2,1951,4,2,120
1,1957,3,2,310
2,1943,3,2,NA
2,1943,4,7,NA
1,1960,5,2,NA
1,1940,4,2,NA
1,1964,5,2,300
2,1968,5,2,70
2,1999,7,2,NA
1,1956,8,2,270
2,1960,7,2,NA
2,1994,7,2,NA
2,1987,6,1,170
2,1949,3,2,80
2,1959,3,5,NA
1,1954,3,5,NA
1,1951,2,2,NA
2,1948,3,2,NA
2,1937,2,2,NA
2,1992,7,2,260
1,1992,7,2,375
2,1955,3,2,230
1,1943,3,2,NA
2,1948,4,2,NA
2,1929,3,2,NA
1,1956,5,2,NA
2,1938,3,2,NA
1,1964,5,2,NA
1,1991,5,2,270
2,1965,6,2,200
1,1977,5,2,NA
2,1976,5,2,NA
2,2002,7,2,NA
2,2005,5,2,NA
1,2007,4,2,NA
2,1968,6,2,NA
1,1995,6,2,265
1,1943,7,2,NA
2,1946,5,2,NA
2,1946,5,2,NA
1,1975,7,2,726
2,1975,6,2,217
1,2008,4,2,NA
2,2010,3,2,NA
1,1971,7,2,777
2,1974,7,2,NA
1,2014,3,2,NA
2,2016,1,2,NA
1,1936,4,2,NA
2,1936,4,2,27
1,1977,5,2,416
2,1981,7,2,350
2,2011,3,2,NA
2,2014,3,2,NA
1,1939,5,2,NA
2,1943,3,2,NA
2,1974,5,2,NA
1,1949,5,2,NA
2,1950,5,2,68
1,1976,3,2,NA
1,1960,7,2,NA
2,1963,5,2,200
2,1991,7,2,290
1,1993,7,2,300
2,1989,6,6,NA
1,1989,7,6,392
1,2019,1,6,NA
1,1971,7,2,1174
2,1977,5,2,NA
2,2002,6,2,NA
2,2009,3,2,NA
1,1940,5,2,NA
1,1961,7,2,250
2,1968,7,2,250
1,1993,7,2,NA
2,1996,7,2,220
1,1960,7,2,NA
2,1965,7,2,NA
1,1991,7,2,210
2,1994,7,2,100
1,1967,7,2,300
2,1968,5,2,NA
2,1998,7,2,NA
1,2001,7,2,NA
2,1942,3,2,27
1,1971,5,2,NA
1,1947,5,2,NA
2,1953,3,2,115
2,1984,6,2,NA
1,1961,5,2,210
2,1966,6,2,NA
2,1993,7,2,29
1,1977,5,2,381
1,1938,3,2,NA
2,1937,3,2,NA
1,1989,6,2,NA
1,1974,5,2,535
2,1969,5,2,232
2,2005,5,2,NA
1,1967,5,2,NA
2,1976,4,2,NA
1,2005,5,2,NA
1,1972,8,2,500
2,1978,7,2,200
2,2006,4,2,NA
1,2009,3,2,NA
1,1961,7,2,NA
2,1962,7,2,NA
1,2000,7,2,NA
1,1970,6,2,736
2,1973,6,2,NA
1,2002,6,2,NA
1,2005,5,2,NA
2,2012,3,2,NA
1,1977,7,2,750
2,1980,6,2,NA
1,2006,4,2,NA
2,2011,3,2,NA
1,1971,5,2,593
2,1975,5,2,250
2,1996,7,2,343
1,2000,6,2,NA
2,1939,3,2,NA
1,1978,6,2,310
1,1942,4,2,NA
2,1949,4,2,NA
1,1955,5,2,210
2,1964,5,2,NA
2,1950,5,2,100
1,1974,5,2,510
2,1975,5,2,228
1,1998,5,2,NA
2,1967,4,2,NA
2,1944,3,2,NA
1,1973,5,2,427
2,1957,5,2,80
2,1982,9,2,NA
1,1976,8,2,500
2,2013,3,2,NA
2,2015,1,2,NA
1,1968,5,2,417
2,1964,4,2,220
2,1999,7,2,NA
2,1960,3,2,NA
2,1938,3,2,NA
2,1937,3,2,NA
2,1959,5,2,39
1,1967,5,2,NA
2,1995,7,2,173
1,1944,5,2,NA
2,1951,3,2,50
2,1937,3,5,NA
1,1960,4,5,265
2,1965,7,2,NA
1,1939,3,2,NA
1,1976,6,2,614
2,1977,5,2,69
2,2004,5,2,NA
2,2006,4,2,NA
1,2011,3,2,NA
2,1979,5,2,347
1,2003,5,2,NA
1,1946,2,2,NA
2,1943,3,2,15
2,1958,4,2,NA
1,1988,6,2,270
2,1994,5,2,NA
1,2020,1,2,NA
2,1950,3,2,NA
1,1935,5,2,NA
2,1940,3,2,NA
1,1958,4,2,286
2,1961,4,2,67
1,1998,6,2,307
1,1970,5,2,813
2,1979,7,2,NA
1,2002,7,2,40
2,2005,5,2,NA
2,1939,3,2,NA
1,1945,5,4,NA
2,1945,4,4,NA
1,1967,4,7,NA
2,1934,2,2,NA
1,1944,7,2,NA
2,1945,4,2,NA
2,1959,3,2,153
2,1993,7,2,NA
2,1955,4,2,NA
1,1989,6,2,310
2,1939,3,2,NA
1,1976,6,2,248
1,1940,3,2,NA
2,1948,3,2,NA
1,1976,5,2,407
2,1975,5,2,63
1,2006,4,2,NA
2,2008,4,2,NA
1,1967,5,2,509
2,1961,3,2,80
1,1974,7,2,250
2,1977,5,1,NA
2,1999,5,1,NA
1,1966,5,1,NA
2,1938,5,2,NA
1,1961,5,2,NA
2,1964,5,2,110
1,1999,7,2,80
1,2002,5,2,60
1,1954,7,2,NA
2,1963,5,2,220
1,1993,6,2,533
1,1976,7,2,548
2,1980,7,2,NA
1,2007,4,2,NA
1,2010,3,2,NA
2,1959,4,2,NA
2,1991,6,2,220
2,1949,3,2,NA
2,1978,7,2,250
1,1977,6,2,NA
2,2008,4,2,NA
1,1961,5,2,240
1,1996,7,2,100
2,1940,3,2,NA
2,1970,7,2,255
1,1968,5,2,250
1,1978,6,2,433
2,1980,7,2,NA
2,2006,4,2,NA
2,2011,3,2,NA
1,2014,3,2,NA
2,1947,3,6,NA
1,1949,5,6,NA
2,1948,3,2,27
1,1968,7,2,NA
2,1969,7,2,500
1,1994,6,2,NA
2,1999,7,2,NA
2,1944,5,2,27
1,1975,5,2,539
2,1981,5,2,NA
1,2005,5,2,NA
1,2007,4,2,NA
1,1972,6,2,NA
2,1975,5,2,250
2,2004,5,2,NA
2,2006,4,2,NA
2,1957,5,2,65
1,1960,5,2,NA
2,1968,5,2,NA
2,1995,7,2,225
1,1998,7,2,NA
1,1965,8,2,780
2,1966,7,2,NA
2,1963,4,2,NA
1,1987,5,2,NA
2,1976,7,2,220
2,2002,6,2,NA
1,2006,4,2,NA
1,1953,4,2,150
2,1955,4,2,NA
2,1953,2,2,150
1,1957,4,2,NA
2,1963,4,2,200
2,2002,7,2,NA
1,1967,5,2,433
1,1999,7,2,NA
2,1947,2,2,NA
1,1961,5,2,NA
2,1943,5,2,NA
1,1967,5,2,380
1,2006,4,2,NA
2,1935,2,2,27
1,1960,5,2,NA
2,1963,5,2,NA
2,1952,3,2,27
1,1974,5,2,NA
2,1976,5,2,NA
1,2004,5,2,NA
2,2007,4,2,NA
2,1940,3,2,27
1,1955,4,2,NA
2,1966,4,2,NA
2,1985,6,2,0
1,1983,7,2,517
2,2011,3,2,NA
2,2017,1,2,NA
2,2021,1,2,NA
1,1964,5,2,83
2,1938,3,2,NA
2,1946,3,2,NA
1,1969,6,2,333
1,1940,4,2,NA
2,1946,4,2,NA
2,1942,2,2,27
2,1933,2,2,NA
1,1961,3,2,NA
1,1940,4,2,NA
2,1942,3,2,NA
1,1946,3,2,NA
2,1953,3,2,NA
2,1942,3,2,27
1,1956,7,1,NA
2,1956,7,1,35
1,1987,7,1,212
1,1990,7,1,167
1,1936,5,2,NA
2,1938,3,2,NA
1,1949,2,2,NA
2,1946,2,2,NA
1,1984,5,2,NA
2,1980,5,2,400
1,1937,4,2,NA
2,1942,3,2,NA
1,1959,7,2,427
2,1965,6,2,258
2,1948,3,2,NA
1,1938,2,2,NA
2,1935,2,2,NA
2,1928,3,2,NA
2,1981,6,7,NA
1,1982,6,7,420
2,2015,1,7,NA
2,1985,6,7,NA
1,1983,5,7,340
1,2019,1,7,NA
1,1953,5,7,NA
2,1960,4,7,NA
1,1953,7,7,350
2,1936,4,7,NA
2,1973,5,7,NA
1,1940,5,7,NA
2,1939,3,7,NA
1,1946,5,7,NA
2,1952,3,7,NA
2,1949,3,7,27
2,1964,5,7,80
2,1996,7,5,308
1,1979,7,7,500
2,1983,5,7,NA
2,2004,5,7,NA
1,2006,4,7,NA
2,1942,3,7,NA
1,1962,7,7,NA
1,1998,6,7,NA
1,1951,3,7,NA
2,1954,5,7,NA
1,1952,5,7,NA
2,1955,5,7,53
2,1932,3,7,NA
2,2002,7,7,NA
1,1943,4,7,NA
2,1947,4,7,27
2,1942,2,7,NA
1,1946,8,7,NA
2,1951,6,7,NA
1,1980,8,7,NA
2,1974,7,7,NA
2,1957,3,7,NA
2,1939,3,7,NA
1,1936,3,7,27
2,1940,3,7,27
1,1942,5,7,NA
2,1946,3,7,NA
1,1971,5,7,NA
2,1976,5,7,NA
2,2003,5,7,NA
2,1960,3,7,NA
1,1991,6,7,230
2,1987,7,7,NA
1,1982,5,7,NA
1,2018,1,7,NA
2,1936,2,7,NA
1,1960,4,7,NA
1,1943,7,7,NA
1,1980,7,7,200
2,1980,5,7,192
2,2008,4,7,NA
2,2015,1,7,NA
2,1955,4,7,NA
2,1942,3,7,27
2,1956,4,7,NA
2,1952,5,7,NA
2,1938,2,7,NA
1,1949,4,7,NA
1,1976,5,7,NA
2,1978,5,7,NA
1,2012,3,7,NA
1,2014,3,7,NA
2,1940,3,7,NA
2,1956,3,7,NA
2,1946,2,7,NA
1,1973,5,7,NA
1,1942,5,7,180
2,1946,3,7,NA
2,1928,2,7,NA
1,1954,2,7,NA
2,1944,5,7,NA
1,1959,4,7,160
1,1990,5,7,302
1,1945,3,7,NA
2,1949,3,7,NA
1,1977,4,7,27
1,1978,4,7,229
1,1980,5,7,87
1,1974,7,7,250
2,1975,7,7,NA
2,2007,4,7,NA
1,1967,7,7,775
2,1969,6,7,243
2,1999,7,7,NA
2,2002,7,7,NA
1,1955,7,7,NA
2,1957,5,7,NA
1,1972,5,7,NA
2,1970,5,7,NA
2,1997,7,7,NA
1,1998,7,7,NA
1,1967,5,7,191
1,1967,6,7,NA
2,1970,6,7,NA
2,1997,7,7,220
2,1999,7,7,NA
1,2004,5,7,NA
1,1975,7,7,635
2,1978,7,7,300
2,2009,3,7,NA
1,1956,4,7,NA
2,1958,4,7,NA
2,1985,7,7,120
1,1986,7,7,244
1,2017,1,7,NA
1,1941,4,7,NA
2,1952,4,7,NA
2,1980,8,7,NA
1,2004,5,7,NA
1,2005,5,7,NA
2,2008,4,7,NA
1,1972,6,7,333
2,1971,7,7,NA
2,2004,5,7,NA
1,2006,4,7,NA
1,1965,5,7,350
1,1994,5,7,NA
1,1997,7,7,NA
2,1967,7,7,300
2,1991,7,7,NA
1,2001,7,7,NA
1,1971,5,7,194
2,1976,4,7,NA
2,2005,5,7,NA
2,1948,4,7,27
2,1973,5,7,NA
1,1994,7,2,317
1,1964,6,7,200
2,1972,5,7,NA
2,1997,7,7,272
1,1999,7,7,NA
2,2001,7,7,NA
1,1942,4,5,NA
2,1945,3,5,NA
1,1963,7,7,667
2,1964,5,7,261
1,1989,7,7,278
1,1991,7,7,NA
1,1935,5,7,NA
1,1957,8,7,NA
2,1959,7,7,NA
1,1990,7,7,210
1,1963,7,7,696
2,1967,5,7,NA
1,1995,7,7,275
2,1998,7,5,248
1,1965,7,7,NA
2,1969,7,7,NA
2,1999,7,7,NA
2,2001,6,7,NA
1,1944,9,7,NA
2,1957,8,7,NA
2,1948,4,7,NA
2,1944,3,7,27
2,1974,7,7,NA
1,1976,7,7,357
2,2011,3,7,NA
2,1962,5,7,250
1,1992,5,7,NA
1,1993,7,7,375
2,1983,5,7,NA
1,1975,6,7,NA
2,2014,3,7,NA
2,2018,1,7,NA
1,1939,3,7,NA
1,1968,7,7,90
1,1970,5,7,359
2,1983,4,7,221
1,2011,3,7,NA
2,1940,2,7,27
1,1943,4,7,NA
2,1949,3,7,NA
1,1976,7,7,583
2,1982,8,7,508
2,2011,3,7,NA
1,2013,3,7,NA
2,1942,3,7,NA
2,1937,2,7,NA
1,1977,7,5,NA
2,1978,5,5,NA
1,2006,4,5,NA
2,2008,4,5,NA
1,1968,7,7,NA
1,1974,7,7,NA
1,1955,7,1,NA
2,1958,5,1,103
2,1997,7,1,45
2,1922,3,1,NA
1,1946,4,7,27
1,1957,5,7,NA
2,1959,5,7,NA
1,1982,7,7,270
1,1948,3,7,NA
2,1958,4,7,NA
1,1980,5,6,NA
2,1944,3,7,27
1,1952,7,7,NA
2,1956,5,7,75
1,1944,5,7,NA
2,1953,5,7,NA
1,1980,7,2,200
1,1942,5,7,100
2,1954,5,7,NA
1,1962,5,7,NA
2,1967,5,7,NA
1,1994,6,7,200
1,1935,5,7,NA
2,1941,3,7,NA
1,1958,5,7,NA
2,1960,5,7,57
1,1988,6,7,130
1,1991,7,7,200
2,1950,4,7,NA
1,1982,6,7,NA
1,1974,8,7,300
2,1974,9,7,558
2,2006,4,7,NA
1,2008,4,7,NA
2,1962,5,7,120
2,2000,7,7,NA
1,1983,5,3,532
2,1983,6,3,NA
1,2008,3,3,NA
1,2016,1,3,NA
1,1954,5,7,NA
2,1953,5,7,35
1,1979,5,7,330
2,1989,6,7,NA
2,2016,1,7,NA
1,2018,1,7,NA
2,1955,4,7,NA
2,1981,7,7,NA
1,1976,7,7,NA
1,2016,1,7,NA
1,2016,1,7,NA
2,1981,7,7,270
1,1978,7,7,630
2,2016,1,7,NA
1,2019,1,7,NA
2,1957,3,7,NA
2,1981,6,5,55
1,1978,7,5,815
1,2013,3,5,NA
2,2015,1,5,NA
1,1970,5,7,NA
1,1955,3,7,NA
2,1961,3,7,NA
1,1951,4,7,27
2,1956,4,7,NA
1,1979,6,7,542
2,1979,6,7,NA
2,2009,3,7,NA
1,2011,3,7,NA
1,1977,6,7,417
2,1983,6,7,NA
1,2010,3,7,NA
1,2012,3,7,NA
2,1982,6,7,NA
1,1977,6,7,NA
2,1947,4,7,NA
1,1952,3,7,NA
2,1956,3,7,NA
2,1981,5,7,230
1,1966,5,7,NA
2,1972,5,7,250
1,1998,7,7,NA
2,2001,7,7,NA
1,2006,4,7,NA
1,1942,4,7,NA
2,1948,3,7,NA
2,1964,5,6,180
1,1994,7,6,216
1,2007,4,6,NA
1,1952,5,7,NA
1,1955,5,7,NA
2,1967,5,7,NA
1,1981,7,7,325
1,1993,5,7,250
1,1979,5,7,510
2,1979,6,7,220
2,2005,5,7,NA
2,2007,4,7,NA
1,2010,3,7,NA
2,1959,4,7,200
2,1998,7,7,100
2,1982,6,7,180
1,1980,6,7,350
2,2013,3,7,NA
2,1988,7,7,NA
2,1935,3,7,NA
1,1956,5,7,NA
1,1987,5,7,250
1,1987,7,7,267
2,1962,5,7,120
2,1956,5,7,NA
1,1984,8,7,85
2,1980,6,2,NA
1,1980,6,2,510
2,2014,3,2,NA
1,2017,1,2,NA
1,1966,4,7,NA
2,1939,3,7,NA
1,1952,3,7,NA
1,1978,6,7,NA
2,1951,3,7,NA
2,1961,3,7,NA
1,1987,5,7,193
2,1948,4,7,NA
2,1967,5,7,NA
1,1944,2,7,NA
1,1975,5,7,80
2,1953,3,7,NA
2,1964,4,7,NA
1,1990,7,7,330
2,1994,7,7,NA
1,1950,5,5,NA
2,1952,3,5,NA
2,1960,5,7,220
2,1988,7,2,500
1,1987,8,2,325
1,2019,1,2,NA
2,1988,7,2,NA
1,1988,7,2,296
1,1961,3,7,NA
2,1995,5,7,217
1,1994,5,7,NA
1,2018,1,7,NA
2,1931,2,7,NA
1,1952,5,7,NA
2,1961,4,7,NA
2,1987,6,7,NA
2,1933,4,7,NA
1,1970,7,5,508
2,1971,7,5,NA
1,2005,5,5,NA
1,2007,4,5,NA
1,1967,5,7,NA
2,1969,5,7,NA
1,1994,5,7,283
1,1953,7,7,600
2,1960,7,7,700
1,1986,7,7,350
1,1962,6,7,NA
2,1967,5,7,130
2,1993,7,7,NA
1,1995,7,7,NA
1,1955,5,7,833
2,1956,5,7,NA
2,1981,7,7,498
1,1979,7,7,456
2,2011,3,7,NA
1,2015,1,7,NA
2,1984,6,7,NA
1,1978,5,7,NA
1,2007,4,7,NA
1,2009,3,7,NA
1,1942,3,7,NA
2,1947,4,7,NA
2,1975,6,7,360
2,1973,6,7,180
1,1997,7,7,NA
2,2000,7,7,NA
1,1976,7,7,350
2,1979,7,7,430
2,2007,4,7,NA
2,2011,3,7,NA
2,2011,3,7,NA
1,2015,1,7,NA
1,1963,5,7,843
2,1964,7,7,NA
2,1993,7,7,318
1,1974,6,7,302
2,1977,6,7,375
2,2003,5,7,NA
2,2006,4,7,NA
2,1953,3,7,NA
1,1971,5,7,428
2,1977,6,7,200
2,2000,6,7,NA
2,2004,5,7,NA
1,2008,4,7,NA
2,1941,3,7,NA
1,1969,5,7,NA
1,1962,5,5,50
2,1966,6,5,50
2,1942,4,2,27
1,1954,4,5,160
2,1954,3,5,NA
2,1949,2,7,30
1,1973,5,7,260
1,2008,4,7,NA
1,1975,5,7,360
2,1980,6,7,130
1,2007,4,7,NA
1,2011,3,7,NA
2,1944,5,7,NA
1,1980,8,7,433
2,1935,2,7,NA
1,1954,7,7,NA
2,1960,5,7,191
2,1986,7,1,390
2,1988,7,1,NA
1,1982,8,1,673
1,2015,1,1,NA
2,2021,1,1,NA
1,1971,5,7,NA
1,1999,5,7,NA
2,1939,3,7,NA
1,1974,7,7,1052
2,1975,7,7,458
2,2004,5,7,NA
2,1934,3,7,NA
1,1956,7,7,NA
2,1957,5,7,400
1,1961,5,7,NA
2,1966,5,7,NA
1,1990,5,7,NA
2,1998,8,7,30
1,1939,3,7,27
2,1936,3,7,NA
2,1954,3,7,NA
1,1999,5,7,NA
1,1937,4,7,NA
2,1943,3,7,NA
1,1981,7,7,360
2,1981,5,7,272
2,2007,4,7,NA
2,2009,3,7,NA
1,1947,3,7,NA
2,1947,3,7,168
1,1969,7,7,833
2,1971,5,7,165
1,1998,7,7,270
1,1969,5,7,593
2,1968,5,7,NA
1,1998,6,7,NA
2,1996,6,7,200
2,1949,6,7,NA
1,1944,4,7,NA
2,1948,3,7,NA
2,1972,5,5,210
1,1995,7,6,300
2,1941,2,5,NA
2,1962,3,5,NA
2,1938,3,5,NA
1,1974,6,5,235
2,1929,2,5,NA
2,1975,8,5,123
2,2001,7,5,NA
2,1949,3,1,120
1,1945,3,1,NA
2,1947,3,5,NA
1,1934,7,5,NA
2,1944,3,5,NA
2,1964,5,5,NA
1,2006,4,5,NA
2,1988,5,5,NA
1,1984,6,5,475
1,2018,1,5,NA
2,1942,3,5,NA
1,1986,5,5,461
2,1986,5,5,71
2,2009,3,5,NA
2,2011,3,5,NA
1,1936,3,5,NA
1,1949,3,5,NA
2,1947,3,5,NA
2,1970,5,2,465
2,1996,7,2,NA
2,1953,3,5,NA
2,1942,2,5,NA
1,1979,5,5,NA
2,1979,5,5,311
2,1959,4,5,223
1,1949,4,5,300
2,1956,5,5,NA
2,1932,4,5,NA
1,1950,4,5,NA
2,1954,3,5,NA
2,1969,3,5,NA
2,1989,5,5,NA
1,1987,7,5,427
2,1987,6,5,403
2,1942,3,5,NA
1,1994,6,5,NA
1,1999,5,5,NA
1,1972,5,5,NA
2,1937,3,5,29
2,1946,3,5,NA
1,1967,7,5,1158
2,1971,7,5,211
1,1998,7,5,34
2,2000,7,5,NA
1,1944,8,5,NA
2,1950,7,5,NA
2,1975,7,5,NA
1,1973,7,5,NA
2,2008,4,5,NA
1,2008,4,5,NA
1,1955,7,5,NA
2,1961,5,5,NA
1,1963,5,5,NA
2,1966,5,5,125
1,1993,7,5,NA
1,1969,8,5,718
2,1971,7,5,197
1,2003,5,5,NA
1,2004,5,5,NA
1,1955,7,5,NA
2,1955,8,5,NA
1,1983,7,5,NA
2,1993,7,5,344
1,1940,5,5,NA
2,1946,4,5,NA
1,1948,5,5,95
2,1954,5,5,NA
1,1979,7,5,1038
2,1985,7,5,NA
2,2011,3,5,NA
2,1928,3,7,NA
1,1954,5,5,100
2,1961,5,5,NA
1,1994,7,5,NA
2,1932,2,5,NA
2,1966,5,5,230
2,1991,5,5,219
1,1967,4,5,NA
2,1964,3,5,NA
1,1997,6,5,205
2,1951,3,5,163
1,1968,6,5,455
2,1968,7,5,200
1,1996,7,5,173
2,1999,7,5,NA
2,1935,5,5,NA
2,1957,6,5,100
1,1952,8,5,911
2,1956,8,5,44
1,1964,8,5,667
2,1967,5,5,257
1,1998,5,5,NA
2,1991,7,5,336
1,1933,4,5,NA
2,1936,2,5,NA
1,1946,5,5,NA
2,1949,4,5,NA
1,1942,7,4,NA
2,1944,7,4,NA
1,1948,5,5,NA
2,1953,4,5,100
2,1938,5,5,NA
1,1967,6,5,NA
1,1971,8,5,500
2,1970,6,5,200
1,1997,7,5,200
2,1998,7,5,NA
1,1959,8,5,NA
2,1964,8,5,250
2,1999,7,5,NA
2,1992,7,6,412
1,1953,7,5,49
2,1956,5,5,50
2,1983,6,5,402
1,1980,6,5,534
1,2011,3,5,NA
2,2017,1,5,NA
1,1937,4,5,NA
2,1942,3,5,NA
1,1940,5,5,NA
2,1942,3,5,NA
1,1978,7,5,210
2,1981,6,5,190
1,2009,3,5,NA
1,2012,3,5,NA
1,1946,3,5,NA
2,1958,3,5,191
1,1976,5,5,NA
2,1977,5,5,60
2,2006,4,5,NA
2,2008,4,5,NA
2,2011,3,5,NA
1,2014,3,5,NA
1,1949,5,5,220
2,1951,4,5,NA
1,1973,7,5,NA
2,1932,2,5,NA
1,1970,7,5,792
2,1974,6,5,NA
1,2003,5,5,NA
2,2007,4,5,NA
1,1946,5,5,NA
2,1948,3,5,NA
1,1943,5,5,NA
2,1946,4,5,27
1,1935,7,4,NA
2,1938,4,4,NA
2,1953,3,5,105
1,1980,6,5,236
2,1994,5,5,251
1,1985,5,5,250
2,2013,3,5,NA
1,2015,1,5,NA
2,1967,4,5,215
2,1996,7,5,NA
1,1976,7,5,300
2,1976,6,5,459
2,2010,3,5,NA
1,1975,8,5,810
2,1974,7,5,500
1,2004,5,5,NA
1,2005,5,5,NA
1,1943,5,5,NA
1,1940,4,5,NA
2,1944,3,5,27
1,1972,7,5,315
2,1976,7,5,236
2,2006,4,5,NA
1,2009,3,5,NA
1,1973,8,5,335
2,1974,7,5,130
2,2005,5,5,NA
2,2007,4,5,NA
2,2009,3,5,NA
1,1972,7,6,532
2,1975,7,6,NA
2,2006,4,6,NA
2,1943,3,2,NA
2,1959,5,5,NA
1,1979,6,5,243
2,1979,6,5,235
1,2003,5,5,NA
2,2011,3,5,NA
1,1977,5,5,542
2,1979,6,5,250
2,2007,4,5,NA
2,2015,1,5,NA
1,1936,5,5,NA
2,1936,3,5,NA
1,1938,5,5,27
2,1939,4,5,27
1,1969,7,5,292
2,2003,5,5,NA
2,1978,7,5,228
1,2007,4,5,NA
2,1956,5,6,NA
1,1970,6,5,311
2,1944,2,5,27
2,2001,7,5,NA
1,1955,5,5,NA
2,1959,5,5,NA
1,1989,7,5,NA
2,1985,7,2,NA
1,1978,7,2,1010
2,2013,3,2,NA
1,2015,1,2,NA
2,1991,8,6,366
2,1943,2,5,NA
1,1971,5,5,300
2,1972,7,5,165
1,1998,7,5,NA
1,1953,5,5,NA
2,1958,5,5,NA
2,1982,8,5,300
1,1981,7,5,417
2,2018,1,5,NA
2,1984,7,5,305
1,1983,7,5,NA
2,2020,1,5,NA
1,1980,6,5,353
2,1977,6,5,197
2,2011,3,5,NA
2,2014,3,5,NA
2,1949,5,5,38
1,1937,3,5,NA
2,1942,3,5,NA
1,1960,5,5,100
2,1958,5,5,200
2,1982,7,5,NA
1,1978,7,5,615
1,2011,3,5,NA
2,2014,3,5,NA
2,2020,1,5,NA
1,1968,5,5,NA
2,1973,5,5,418
2,2003,5,5,NA
2,1932,2,5,NA
2,2006,4,5,NA
1,2010,3,5,NA
2,1961,7,5,111
2,2004,5,5,NA
2,1985,6,5,250
1,1983,5,5,271
2,2012,3,5,NA
2,2018,1,5,NA
1,1966,7,5,678
2,1969,6,5,210
1,1996,7,5,230
1,1960,4,5,NA
1,1992,7,5,NA
2,1939,3,5,NA
1,1973,5,5,353
2,1973,5,5,NA
2,2003,5,5,NA
1,2008,4,5,NA
1,1939,3,5,30
1,1939,2,5,NA
2,1944,2,5,27
1,1970,5,5,NA
2,2001,7,5,NA
1,1955,3,5,NA
2,1945,3,5,NA
1,1947,5,5,NA
2,1952,4,5,NA
1,1961,5,5,288
2,1989,6,5,230
1,1962,5,5,NA
2,1962,5,5,225
2,1995,8,5,182
1,1983,7,5,358
2,1985,7,5,489
2,2014,3,5,NA
1,2016,1,5,NA
1,1952,4,5,NA
2,1953,3,5,NA
1,1977,5,5,NA
2,1976,5,5,NA
1,2004,5,5,NA
1,2008,4,5,NA
1,2010,3,5,NA
2,1942,4,5,NA
1,1948,5,1,NA
1,1982,7,1,542
2,1991,6,1,195
1,2019,1,1,NA
2,1958,3,5,NA
1,1985,4,5,NA
1,1969,7,5,200
2,1968,5,5,NA
2,1995,9,5,NA
1,1997,8,5,170
1,1965,6,5,NA
2,1968,5,5,140
2,1992,6,5,442
1,2000,5,5,NA
2,1969,6,5,198
1,1971,7,5,1208
2,1973,6,5,300
1,1997,7,5,NA
2,2001,7,5,NA
1,1965,4,5,252
2,1967,5,5,NA
1,1996,6,5,NA
1,1974,7,3,649
2,1977,6,3,NA
2,2007,4,3,NA
1,2015,1,3,NA
2,2015,1,3,NA
1,1947,3,3,NA
2,1954,3,3,NA
2,1975,5,3,NA
1,1965,7,3,760
2,1967,7,3,NA
1,2013,3,3,NA
2,1992,7,3,0
1,1992,7,3,598
1,1994,7,1,285
2,1942,3,3,NA
1,1969,5,3,NA
2,1973,5,3,NA
1,1999,7,3,35
2,2007,4,3,NA
1,1951,5,3,NA
1,1989,5,3,558
1,1983,5,3,397
1,1955,5,3,NA
2,1954,7,3,NA
2,1981,7,3,NA
1,1979,5,3,410
2,1979,6,3,255
1,2007,4,3,NA
1,2011,3,3,NA
1,2014,3,3,NA
1,1976,5,3,1288
2,1980,7,3,NA
2,1962,6,3,NA
2,2000,7,3,55
2,1992,8,3,424
1,1991,8,3,411
2,1958,3,3,215
1,1974,5,3,NA
2,1979,7,3,NA
1,2008,4,3,NA
2,1959,5,3,70
2,1985,7,3,280
1,1960,5,3,NA
2,1965,4,3,101
1,1988,7,3,261
1,1949,4,3,NA
2,1954,4,3,NA
1,1987,6,3,250
1,1959,5,3,NA
2,1966,4,3,NA
2,1988,6,3,250
1,1960,4,3,NA
2,1964,4,3,265
1,1992,6,3,522
2,1936,3,3,NA
1,1937,3,4,NA
2,1943,2,4,NA
2,1958,5,3,175
1,1987,7,3,303
1,1985,7,3,386
1,1945,3,3,NA
2,1950,3,3,NA
1,1978,6,3,911
2,1978,6,3,192
1,2008,4,3,NA
1,2010,3,3,NA
2,2012,3,3,NA
2,1982,4,3,NA
1,2005,5,3,NA
2,1950,4,3,NA
1,1949,4,3,NA
1,1974,3,3,NA
1,1963,7,3,NA
2,1941,3,3,NA
2,1975,5,3,132
2,1971,5,3,NA
2,1967,5,3,NA
2,1994,7,3,NA
2,1937,3,3,NA
2,1957,3,3,114
2,1983,5,3,NA
1,1983,6,3,443
2,2012,3,3,NA
1,1985,7,4,447
1,1953,5,3,NA
2,1959,4,3,NA
1,1986,7,3,117
1,1986,7,3,NA
2,1984,7,1,200
2,1937,2,3,NA
2,1965,4,3,NA
2,1946,2,3,NA
1,1934,3,3,NA
1,1955,5,3,NA
1,1944,4,3,54
2,1945,4,3,NA
1,1989,6,3,NA
2,1972,5,3,NA
1,1970,5,3,583
2,1936,4,3,NA
2,1957,4,3,NA
1,1949,3,4,NA
